proposal_1_id,proposal_2_id,proposal_1_title,proposal_2_title,proposal_1_who,proposal_2_who,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity
ai_generate_ideas_no_role_gpt_01,ai_generate_ideas_no_role_gpt_02,Synthesis of Molecular Data for Cancer Cell Evolution,Cross-Disciplinary Analysis of Neurodegenerative Diseases,ai,ai,0.21564120970865344,0.7429995468849397,3,0.08108108108108109,0.026679871235098657
ai_generate_ideas_no_role_gpt_01,ai_generate_ideas_no_role_gpt_03,Synthesis of Molecular Data for Cancer Cell Evolution,Data-Driven Approach to Understanding Antibiotic Resistance,ai,ai,0.20761725152072935,0.7529994990731667,4,0.1111111111111111,0.026871422675229756
ai_generate_ideas_no_role_gpt_01,ai_generate_ideas_no_role_gpt_04,Synthesis of Molecular Data for Cancer Cell Evolution,Synthetic Biology: Data Synthesis for Biofuel Production,ai,ai,0.22084998671784184,0.7141190533696158,4,0.1111111111111111,0.9999993926975602
ai_generate_ideas_no_role_gpt_01,ai_generate_ideas_no_role_gpt_05,Synthesis of Molecular Data for Cancer Cell Evolution,Data Synthesis for Understanding Aging at the Cellular Level,ai,ai,0.21931151267982435,0.7870385001866073,3,0.08108108108108109,0.023776898102102706
ai_generate_ideas_no_role_gpt_01,ai_generate_ideas_no_role_gpt_06,Synthesis of Molecular Data for Cancer Cell Evolution,Cross-Disciplinary Analysis of Viral Evolution,ai,ai,0.2494155313449601,0.8149590512288716,6,0.17647058823529413,0.02581914877480661
ai_generate_ideas_no_role_gpt_01,ai_generate_ideas_no_role_gpt_07,Synthesis of Molecular Data for Cancer Cell Evolution,Data-Driven Approach to Understanding Stem Cell Differentiation,ai,ai,0.23423615333015685,0.8147822797953153,4,0.1111111111111111,0.9999941663503213
ai_generate_ideas_no_role_gpt_01,ai_generate_ideas_no_role_gpt_08,Synthesis of Molecular Data for Cancer Cell Evolution,Synthetic Biology: Data Synthesis for Gene Therapy,ai,ai,0.18348894008079744,0.7145606692341824,2,0.05263157894736842,0.026441400034962804
ai_generate_ideas_no_role_gpt_01,ai_generate_ideas_no_role_gpt_09,Synthesis of Molecular Data for Cancer Cell Evolution,Data Synthesis for Understanding Protein Folding,ai,ai,0.2473697216807668,0.7501842002268839,5,0.14285714285714285,0.9999966114641964
ai_generate_ideas_no_role_gpt_01,ai_generate_ideas_no_role_gpt_10,Synthesis of Molecular Data for Cancer Cell Evolution,Cross-Disciplinary Analysis of Epigenetic Regulation,ai,ai,0.2677220929446582,0.8414121045982386,5,0.14285714285714285,0.02416082729784194
ai_generate_ideas_no_role_gpt_01,ai_generate_diverse_ideas_gpt_01,Synthesis of Molecular Data for Cancer Cell Evolution,Synthesis of Molecular Data for Understanding Cancer Cell Metabolism,ai,ai,0.3544465941869458,0.8824627028037626,6,0.17647058823529413,0.024857387854974065
