year,proposal_id,proposal_title,comparison_type,criterion,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity,sentiment_alignment,sentiment_agreement,polarity_1,polarity_2,sentiment_label_1,sentiment_label_2,polarity_correlation,reviewer_1_id,reviewer_2_id
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,All Justifications Combined,0.33190596747857,0.9160228903136871,7,0.21212121212121213,0.02306833485316938,0.9420965810704447,partial,0.04744999999999999,0.1632568378591106,neutral,positive,same_direction,1.0,2.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,All Justifications Combined,0.13886739482001037,0.8802888317088184,6,0.17647058823529413,0.024920893094432642,0.9361748746867168,partial,0.04744999999999999,0.17510025062656642,neutral,positive,same_direction,1.0,3.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,All Justifications Combined,0.19606318010687776,0.8485478706541077,7,0.21212121212121213,0.02697064528268861,0.9985446248196248,agree,0.04744999999999999,0.050360750360750384,neutral,neutral,same_direction,1.0,4.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,All Justifications Combined,0.2321575078531291,0.8738026905310214,6,0.17647058823529413,0.02382432135551658,0.9940782936162721,agree,0.1632568378591106,0.17510025062656642,positive,positive,same_direction,2.0,3.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,All Justifications Combined,0.2865344135127676,0.8424089219002402,8,0.25,0.9999062515682627,0.9435519562508199,partial,0.1632568378591106,0.050360750360750384,positive,neutral,same_direction,2.0,4.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,All Justifications Combined,0.11440438324921591,0.8240520454902411,4,0.1111111111111111,0.028964259593774598,0.937630249867092,partial,0.17510025062656642,0.050360750360750384,positive,neutral,same_direction,3.0,4.0
y1,2.0,Elucidating genome structure-function relationships in human brain cells,human-human,All Justifications Combined,0.16221806269875744,0.7801830712952332,6,0.17647058823529413,0.032775928084724994,0.9458669400774664,agree,0.2262531328320802,0.11798701298701297,positive,positive,same_direction,1.0,2.0
y1,2.0,Elucidating genome structure-function relationships in human brain cells,human-human,All Justifications Combined,0.12545104763226633,0.8465387017997692,2,0.05263157894736842,0.9999690446494405,0.9704547827903092,agree,0.2262531328320802,0.16716269841269846,positive,positive,same_direction,1.0,3.0
y1,2.0,Elucidating genome structure-function relationships in human brain cells,human-human,All Justifications Combined,0.16141933903583625,0.8046655537078633,4,0.1111111111111111,0.028440673549746026,0.9754121572871572,agree,0.11798701298701297,0.16716269841269846,positive,positive,same_direction,2.0,3.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,All Justifications Combined,0.0828468684865881,0.8485959668133032,1,0.02564102564102564,0.03249184757941543,0.978878236142942,agree,0.12124386724386724,0.1634873949579832,positive,positive,same_direction,1.0,2.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,All Justifications Combined,0.13979965973112882,0.8639846869218264,3,0.08108108108108109,0.029592976504281717,0.9460386002886003,agree,0.12124386724386724,0.22916666666666663,positive,positive,same_direction,1.0,3.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,All Justifications Combined,0.20941312368201528,0.8491486951578238,5,0.14285714285714285,0.029023669664140002,0.9917132312132313,agree,0.12124386724386724,0.10467032967032971,positive,positive,same_direction,1.0,4.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,All Justifications Combined,0.0886982673856403,0.857449436633122,2,0.05263157894736842,0.03686891331873411,0.9671603641456583,agree,0.1634873949579832,0.22916666666666663,positive,positive,same_direction,2.0,3.0
