proposal_1_id,proposal_2_id,proposal_1_title,proposal_2_title,proposal_1_who,proposal_2_who,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity
human-y2_1,human-y2_2,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,human,human,0.22863455992297266,0.8106876566451926,4,0.1111111111111111,0.024729881754985233
human-y2_1,human-y2_3,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Deciphering systemic biological networks through AI-driven multi-omic integration,human,human,0.21732843526952592,0.7282647537359836,1,0.02564102564102564,0.02483216313878082
human-y2_1,human-y2_4,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,human,human,0.22205657265984152,0.8680583757630778,1,0.02564102564102564,0.025378840405430536
human-y2_1,human-y2_5,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,human,human,0.14683594501326377,0.824609174425703,2,0.05263157894736842,0.9999985956369073
human-y2_1,human-y2_6,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Revealing the Ontology of Allostery through Community-Scale Synthesis,human,human,0.4935652835704711,0.9141659450597321,5,0.14285714285714285,0.024632340161437616
human-y2_1,human-y2_7,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,human,human,0.1715822397433003,0.879805839896204,3,0.08108108108108109,0.9999984279354204
human-y2_1,human-y2_8,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,A Unified Framework for Analyses of Proteome Turnover Dynamics,human,human,0.23414371239836101,0.8933927027524287,4,0.1111111111111111,0.025077519874521417
human-y2_1,human-y2_9,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,human,human,0.14514889163416136,0.8509687180514944,2,0.05263157894736842,0.02614455473534498
human-y2_1,human-y2_10,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,human,0.2791179311419848,0.8865593402965134,6,0.17647058823529413,0.9999996888292876
human-y2_1,human-y2_11,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,human,human,0.16236889621991174,0.8624134018630368,3,0.08108108108108109,0.9999996827329792
human-y2_2,human-y2_1,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,human,0.2286345599229722,0.8106876566451926,4,0.1111111111111111,0.024729881754985233
human-y2_2,human-y2_3,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Deciphering systemic biological networks through AI-driven multi-omic integration,human,human,0.15723407253290636,0.7191279785823914,2,0.05263157894736842,0.025289275779252145
human-y2_2,human-y2_4,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,human,human,0.3006129206498642,0.8250490981805033,3,0.08108108108108109,0.024931700596955597
human-y2_2,human-y2_5,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,human,human,0.14088637569616333,0.7688704834094153,3,0.08108108108108109,0.026043715253460928
human-y2_2,human-y2_6,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Revealing the Ontology of Allostery through Community-Scale Synthesis,human,human,0.29710709792488404,0.8545506199804629,5,0.14285714285714285,0.025430824539979534
human-y2_2,human-y2_7,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,human,human,0.12687370234978187,0.8000672674714259,2,0.05263157894736842,0.9999925213788234
human-y2_2,human-y2_8,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,A Unified Framework for Analyses of Proteome Turnover Dynamics,human,human,0.2715189380827841,0.819301185081754,3,0.08108108108108109,0.025527607975183858
human-y2_2,human-y2_9,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics,human,human,0.146804531979327,0.7977432125202546,2,0.05263157894736842,0.026282884512552278
human-y2_2,human-y2_10,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions,human,human,0.18025105529427382,0.7903706994167226,2,0.05263157894736842,0.026893380366286673
human-y2_2,human-y2_11,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data,human,human,0.1871572538665598,0.8212212299767131,2,0.05263157894736842,0.02532123174873857
human-y2_3,human-y2_1,Deciphering systemic biological networks through AI-driven multi-omic integration,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation,human,human,0.21732843526952483,0.7282647537359836,1,0.02564102564102564,0.02483216313878082
human-y2_3,human-y2_2,Deciphering systemic biological networks through AI-driven multi-omic integration,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies,human,human,0.15723407253290653,0.7191279785823914,2,0.05263157894736842,0.025289275779252145
human-y2_3,human-y2_4,Deciphering systemic biological networks through AI-driven multi-omic integration,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions,human,human,0.18839295453127006,0.7482620771374298,3,0.08108108108108109,0.025617088577360437
human-y2_3,human-y2_5,Deciphering systemic biological networks through AI-driven multi-omic integration,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation,human,human,0.21692343905405337,0.7809870941798295,4,0.1111111111111111,0.9999985044446573
human-y2_3,human-y2_6,Deciphering systemic biological networks through AI-driven multi-omic integration,Revealing the Ontology of Allostery through Community-Scale Synthesis,human,human,0.1685195125408853,0.7228466221866467,2,0.05263157894736842,0.026683807665944186
human-y2_3,human-y2_7,Deciphering systemic biological networks through AI-driven multi-omic integration,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis,human,human,0.21196883434238553,0.7694966491550537,2,0.05263157894736842,0.02416454589118441
