proposal_1_id,proposal_2_id,proposal_1_title,proposal_2_title,proposal_1_who,proposal_2_who,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity
ai_generate_ideas_no_role_llama_10,ai_generate_ideas_no_role_gpt_02,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Cross-Disciplinary Analysis of Neurodegenerative Diseases,ai,ai,0.23860242307918852,0.7738414850291897,5,0.14285714285714285,0.023934038507852036
ai_generate_ideas_no_role_llama_10,ai_generate_ideas_no_role_gpt_03,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Data-Driven Approach to Understanding Antibiotic Resistance,ai,ai,0.15819913569615957,0.7223028921619463,3,0.08108108108108109,0.999982313064337
ai_generate_ideas_no_role_llama_10,ai_generate_ideas_no_role_gpt_04,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Synthetic Biology: Data Synthesis for Biofuel Production,ai,ai,0.16595541202819816,0.6706392010165345,4,0.1111111111111111,0.023614018197997556
ai_generate_ideas_no_role_llama_10,ai_generate_ideas_no_role_gpt_07,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Data-Driven Approach to Understanding Stem Cell Differentiation,ai,ai,0.16534736616011503,0.7352487228040447,3,0.08108108108108109,0.025837580994161974
ai_generate_ideas_no_role_llama_10,ai_generate_ideas_no_role_gpt_08,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Synthetic Biology: Data Synthesis for Gene Therapy,ai,ai,0.16370163572993293,0.6999267302882203,2,0.05263157894736842,0.9999917517431255
ai_generate_ideas_no_role_llama_10,ai_generate_ideas_no_role_gpt_09,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Data Synthesis for Understanding Protein Folding,ai,ai,0.21007327935359987,0.7328679133013065,5,0.14285714285714285,0.022583084862368076
ai_generate_ideas_no_role_llama_10,ai_generate_ideas_no_role_qwen_04,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Cross-Disciplinary Analysis of Host-Microbiome Interactions in Chronic Inflammatory Diseases,ai,ai,0.2425999499855926,0.6984152823734,5,0.14285714285714285,0.023379017882601147
ai_generate_ideas_no_role_llama_10,ai_generate_ideas_no_role_qwen_06,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Synthesizing Single-Cell Data to Explore Immune Cell Dynamics in Tumor Microenvironments,ai,ai,0.1921466501240814,0.7867335285180692,6,0.17647058823529413,0.023081685065915722
ai_generate_ideas_no_role_llama_10,ai_generate_ideas_no_role_qwen_09,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Synthesizing Plant Omics Data to Elucidate Stress Response Mechanisms,ai,ai,0.21566136693033597,0.7019654977078869,3,0.08108108108108109,0.022982385420534244
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_gpt_04,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Synthesis of Proteomic Data for Drug Discovery,ai,ai,0.20088906061368542,0.7083089309644011,3,0.08108108108108109,0.026360118034990294
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_gpt_05,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Integration of Epigenetic Data for Understanding Aging,ai,ai,0.190203771052363,0.7115542424222878,5,0.14285714285714285,0.02449795313775827
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_gpt_06,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Cross-Disciplinary Analysis of Metagenomic Data for Environmental Health,ai,ai,0.1815352338550726,0.6932997404852275,6,0.17647058823529413,0.02670791808319193
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_gpt_06_2,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Cross-Disciplinary Approach to Unraveling the Mysteries of Genetic Disorders,ai,ai,0.24114595515904902,0.7710335634215704,3,0.08108108108108109,0.02250845055330275
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_gpt_07_2,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Data Synthesis for Understanding the Molecular Mechanisms of Immune Response,ai,ai,0.20632592008435477,0.7379144786883504,3,0.08108108108108109,0.024366340254975232
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_gpt_08_2,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Synthesis of Molecular Data for Understanding the Impact of Lifestyle Factors on Human Health,ai,ai,0.20132862212979075,0.769260997393385,5,0.14285714285714285,0.9999893850599553
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_llama_01,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Multimodal Data Integration for Predicting Cellular States,ai,ai,0.23601206655952617,0.7251409357434888,2,0.05263157894736842,0.024686214814888648
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_llama_08,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Integrative Analysis of Metabolic and Regulatory Networks,ai,ai,0.18854469043176855,0.7819609827071992,4,0.1111111111111111,0.024236872069786537
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_llama_09,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Data-Driven Insights into the Biology of Rare Diseases,ai,ai,0.29062761162361883,0.7772075098462233,6,0.17647058823529413,0.02375214803561684
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_llama_04_2,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Synthetic Biology for Biological Timekeeping: Design and Construction of Novel Biological Clocks,ai,ai,0.14967330599888576,0.68440220887542,2,0.05263157894736842,0.026290034304895564
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_llama_08_2,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Computational Analysis of Topological Features in Biological Networks,ai,ai,0.15584164223438382,0.707122228719367,3,0.08108108108108109,0.027152729533181246
ai_generate_ideas_no_role_llama_10,ai_generate_diverse_ideas_claude_03,Community-Scale Identification of Non-Coding RNAs in Human Diseases,Deciphering the Glycan Code: Integrating Glycomics Data to Understand Carbohydrate-Mediated Cellular Communication,ai,ai,0.18940481458323938,0.5302440966997651,3,0.08108108108108109,0.02907433484525429
